AIRPORT,DATE,PHASE,N_VALID,N_M88M60,N_M60M55,N_M55M50,N_M50M45,N_M45M40,N_M40M35,N_M35M30,N_M30M25,N_M25M20,N_M20M15,N_M15M10,N_M10M05,N_M05M00,N_P00P05,N_P05P10,N_P10P15,N_P15P20,N_P20P25,N_P25P30,N_P30P35,N_P35P40,N_P40P45,N_P45P50,N_P50P55,N_P55P60,N_P60P88,EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
EDDF,2019-01-01T00:00:00Z,ARR,18794,674,117,135,182,235,325,372,513,718,1083,1520,2135,2582,2678,2266,1422,774,429,230,157,103,63,21,19,14,26,0.19447696073214857,0.13738427157603492,0.14249228477173567,0.1962328402681707,0.2798765563477706,0.6705863573480898
EDDF,2019-02-01T00:00:00Z,ARR,18418,471,64,72,86,120,168,228,362,483,739,1206,1868,2584,2940,2755,1880,1080,593,325,183,95,50,22,17,7,19,0.16690194375067868,0.14029753502008904,0.15962645238353784,0.2516559887067,0.2999239874036269,0.7184819198610055
EDDF,2019-03-01T00:00:00Z,ARR,21032,935,152,210,246,302,365,525,619,852,1156,1613,2213,2792,2889,2367,1655,874,495,297,183,119,62,52,22,9,28,0.18191327500950932,0.13275009509319133,0.13736211487257513,0.1912324077596044,0.27011220996576646,0.6432578927348802
EDDF,2019-04-01T00:00:00Z,ARR,21851,760,129,149,221,264,372,453,690,899,1304,1836,2612,3382,3361,2424,1448,745,340,205,97,64,39,18,16,6,17,0.20356047778133723,0.1547755251475905,0.15381447073360488,0.17720012814058853,0.30858999588119534,0.6893506018031211
EDDF,2019-05-01T00:00:00Z,ARR,23087,1181,197,213,286,359,493,602,771,1032,1506,2038,2638,3312,3220,2381,1397,649,351,203,103,47,38,18,15,10,27,0.20253822497509424,0.14345735695413003,0.13947243037207083,0.16364187638064712,0.2829297873262009,0.6491098886819422
EDDF,2019-06-01T00:00:00Z,ARR,22930,1385,227,217,362,382,481,616,805,1046,1404,1885,2657,3091,3022,2327,1350,711,405,212,147,87,41,25,16,10,19,0.1980811164413432,0.13480156999563891,0.1317924116877453,0.16035761011774968,0.2665939816833842,0.6250327082424771
EDDF,2019-07-01T00:00:00Z,ARR,23560,1371,186,249,282,337,448,555,782,987,1326,1817,2546,3060,3317,2582,1603,870,443,279,200,116,69,54,23,15,40,0.1851867572156197,0.1298811544991511,0.14078947368421052,0.17763157894736842,0.27067062818336163,0.6334889643463497
EDDF,2019-08-01T00:00:00Z,ARR,23198,1167,205,200,274,336,383,543,695,892,1195,1749,2431,3230,3516,2883,1631,788,432,257,157,88,52,33,27,6,28,0.18018794723683076,0.13923614104664195,0.15156479006810933,0.19458574015001293,0.29080093111475125,0.6655746185015949
EDDF,2019-09-01T00:00:00Z,ARR,23359,840,138,180,233,300,405,527,764,1002,1422,2061,2853,3430,3409,2594,1413,708,424,215,147,107,85,37,24,11,30,0.2103685945459994,0.146838477674558,0.14593946658675458,0.17153987756325184,0.29277794426131254,0.6746864163705638
EDDF,2019-10-01T00:00:00Z,ARR,22971,683,138,167,222,307,393,560,671,998,1387,1892,2806,3403,3413,2535,1471,848,436,246,145,68,49,47,24,16,46,0.2045187410212877,0.1481433111314266,0.14857864263636758,0.17439380087936965,0.2967219537677942,0.6756344956684516
EDDF,2019-11-01T00:00:00Z,ARR,19384,382,67,93,113,144,171,246,361,545,837,1235,1929,2644,3118,2837,1938,1215,582,355,241,128,64,55,28,13,43,0.16322740404457284,0.13640115559224103,0.1608543128353281,0.2463371853074701,0.2972554684275691,0.7068200577796121
EDDF,2019-12-01T00:00:00Z,ARR,18375,656,107,116,151,191,265,359,493,648,924,1334,1840,2347,2682,2318,1753,947,534,320,165,80,54,34,15,9,33,0.17273469387755103,0.12772789115646258,0.14595918367346938,0.22155102040816327,0.273687074829932,0.6679727891156463
EDDF,2020-01-01T00:00:00Z,ARR,18145,478,78,102,103,123,197,280,374,519,768,1176,1660,2384,2849,2749,1933,1111,562,307,162,95,51,34,14,11,25,0.156296500413337,0.13138605676494902,0.15701295122623313,0.2580325158445853,0.2883990079911821,0.7027280242491044
EDDF,2020-02-01T00:00:00Z,ARR,17929,545,82,119,125,168,201,286,372,532,760,1138,1649,2436,2863,2581,1724,963,529,308,187,119,86,45,34,25,51,0.1554464833509956,0.13586926208935243,0.1596854258463941,0.24011378214066595,0.2955546879357466,0.6911149534274081
EDDF,2020-03-01T00:00:00Z,ARR,11443,493,38,45,50,75,75,106,130,183,270,390,683,1135,1525,1837,1618,1099,669,393,215,156,84,51,27,21,75,0.09376911649043083,0.09918727606396924,0.13326924757493663,0.3019313117189548,0.23245652363890587,0.6281569518482916
EDDF,2020-04-01T00:00:00Z,ARR,3248,309,19,23,41,30,30,37,44,71,73,110,128,185,275,329,376,352,266,197,105,66,38,31,17,18,77,0.07327586206896551,0.05695812807881773,0.08466748768472906,0.2170566502463054,0.1416256157635468,0.4319581280788177
EDDF,2020-05-01T00:00:00Z,ARR,3887,318,26,24,34,36,44,74,47,76,89,139,181,305,392,428,407,354,267,207,121,93,65,46,30,20,64,0.08232570105479804,0.07846668381785439,0.1008489837921276,0.21481862618986364,0.179315667609982,0.4764599948546437
EDDF,2020-06-01T00:00:00Z,ARR,4663,223,15,19,22,29,33,41,54,92,138,179,253,355,501,553,588,476,321,227,172,102,101,50,34,26,59,0.09264422045893202,0.07613124597898349,0.1074415612266781,0.24469225820287369,0.1835728072056616,0.5209092858674673
EDDF,2020-07-01T00:00:00Z,ARR,7670,261,19,22,25,43,47,73,93,110,189,303,507,720,1078,1116,1056,742,441,292,179,106,69,63,37,21,58,0.10560625814863105,0.0938722294654498,0.1405475880052151,0.2831812255541069,0.23441981747066493,0.6232073011734028
EDDF,2020-08-01T00:00:00Z,ARR,8849,308,24,35,35,60,73,90,116,159,257,369,508,882,1235,1421,1144,846,501,308,149,123,78,36,27,19,46,0.09910724375635666,0.09967227935359928,0.1395637925189287,0.2898632613854673,0.23923607187252796,0.6282065770143519
EDDF,2020-09-01T00:00:00Z,ARR,8466,283,19,22,37,54,35,57,86,110,162,233,425,713,1120,1350,1265,1005,621,302,189,127,86,54,35,22,54,0.07772265532719112,0.08421922986061894,0.13229388140798487,0.3088825891802504,0.2165131112686038,0.6031183557760453
EDDF,2020-10-01T00:00:00Z,ARR,8548,334,20,22,46,45,55,68,105,148,217,315,539,845,1173,1340,1232,824,449,253,140,102,70,57,43,37,69,0.09990641085634068,0.09885353299017316,0.1372250818905007,0.30088909686476367,0.23607861488067383,0.6368741226017782
EDDF,2020-11-01T00:00:00Z,ARR,6397,309,24,31,28,43,50,85,74,89,150,221,344,548,721,905,864,629,423,267,177,132,107,50,31,34,61,0.08832265124277004,0.08566515554166015,0.11270908238236674,0.27653587619196496,0.1983742379240269,0.5632327653587619
EDDF,2020-12-01T00:00:00Z,ARR,6832,356,32,55,55,58,95,96,174,223,301,375,542,701,790,832,691,491,357,218,149,75,49,35,19,20,43,0.13422131147540983,0.10260538641686184,0.11563231850117096,0.22292154566744732,0.2182377049180328,0.5753805620608899
EDDF,2021-01-01T00:00:00Z,ARR,6579,439,41,54,67,69,105,138,169,228,301,426,563,689,791,734,597,417,269,198,90,75,51,25,7,11,25,0.1503267973856209,0.10472716218270252,0.12023103815169478,0.20231038151694783,0.2249582003343973,0.5775953792369661
EDDF,2021-02-01T00:00:00Z,ARR,5560,418,31,40,46,69,87,95,150,190,279,321,412,573,620,633,490,351,221,144,132,92,55,33,23,11,44,0.13183453237410073,0.10305755395683454,0.11151079136690648,0.20197841726618704,0.214568345323741,0.5483812949640288
EDDF,2021-03-01T00:00:00Z,ARR,6837,286,25,31,45,56,74,119,132,177,281,385,521,675,891,807,761,561,354,227,152,87,71,45,27,12,35,0.13251426064063185,0.09872751206669592,0.1303203159280386,0.22934035395641364,0.22904782799473453,0.59090244259178
EDDF,2021-04-01T00:00:00Z,ARR,7741,313,29,46,62,51,85,101,122,205,295,448,650,909,1034,1093,860,617,333,202,103,67,40,27,14,12,23,0.14184213925849373,0.1174266890582612,0.13357447358222452,0.2522929854024028,0.2510011626404857,0.6451362873013823
EDDF,2021-05-01T00:00:00Z,ARR,8500,326,28,42,38,66,86,130,148,223,317,431,662,929,1175,1184,911,677,407,251,142,122,82,34,30,13,46,0.12858823529411764,0.10929411764705882,0.13823529411764707,0.2464705882352941,0.2475294117647059,0.6225882352941177
EDDF,2021-06-01T00:00:00Z,ARR,9999,348,29,46,53,73,82,125,189,260,387,531,844,1142,1402,1460,1146,732,454,269,155,109,57,38,23,14,31,0.13751375137513752,0.11421142114211422,0.1402140214021402,0.26062606260626064,0.2544254425442544,0.6525652565256526
EDDF,2021-07-01T00:00:00Z,ARR,13796,520,77,81,106,128,176,248,369,480,684,983,1274,1779,1976,1708,1262,794,472,247,148,100,66,44,20,11,42,0.16359814438967818,0.1289504204117135,0.14322992171643956,0.2152797912438388,0.27218034212815306,0.65105827776167
EDDF,2021-08-01T00:00:00Z,ARR,14449,658,91,103,140,191,252,307,442,593,782,1072,1631,1917,2057,1717,1080,588,321,200,123,71,34,20,16,12,29,0.18707176967264172,0.13267354142155166,0.14236279327289086,0.193577410201398,0.2750363346944425,0.6556855145684822
EDDF,2021-09-01T00:00:00Z,ARR,14064,504,76,74,89,137,203,225,346,465,709,1022,1523,2052,2116,1756,1172,628,381,212,138,72,58,42,17,18,29,0.1809584755403868,0.1459044368600683,0.15045506257110353,0.20819112627986347,0.2963594994311718,0.6855091012514221
EDDF,2021-10-01T00:00:00Z,ARR,14998,670,84,107,154,159,238,343,451,660,875,1259,1669,2062,2135,1741,1028,590,342,180,101,55,27,25,10,13,20,0.19522603013735165,0.1374849979997333,0.1423523136418189,0.18462461661554871,0.27983731164155223,0.6596879583944526
EDDF,2021-11-01T00:00:00Z,ARR,14440,504,82,71,99,112,179,234,347,484,674,1036,1494,1974,2219,1937,1364,795,351,210,113,52,39,28,10,7,25,0.17520775623268697,0.13670360110803323,0.15367036011080332,0.228601108033241,0.2903739612188366,0.6941828254847645
EDDF,2021-12-01T00:00:00Z,ARR,13990,749,113,129,157,213,252,356,424,541,768,1053,1365,1800,1916,1619,1165,633,331,191,71,53,29,18,11,9,24,0.17283774124374554,0.12866333095067906,0.13695496783416727,0.19899928520371693,0.26561829878484633,0.6374553252323087
EDDM,2019-01-01T00:00:00Z,ARR,15617,1008,141,160,209,208,281,401,519,696,929,1245,1618,1695,2208,1860,1221,616,303,118,72,28,18,12,14,8,11,0.183325862841775,0.10853557021194853,0.14138438880706922,0.19728500992508163,0.24991995901901773,0.6305308317858743
EDDM,2019-02-01T00:00:00Z,ARR,14949,486,81,95,108,145,187,261,332,482,704,1010,1572,1724,2495,2281,1472,772,354,173,92,36,17,11,11,10,24,0.1727205833166098,0.11532543982875108,0.16690079603986888,0.25105358217941,0.28222623586862,0.7060004013646398
EDDM,2019-03-01T00:00:00Z,ARR,17122,437,74,72,119,154,203,318,382,606,821,1279,1909,2099,2920,2571,1583,769,368,186,100,47,23,19,17,8,22,0.18619320172877,0.12259081882957598,0.1705408246700152,0.2426118444106997,0.29313164349959114,0.7219366896390609
EDDM,2019-04-01T00:00:00Z,ARR,17061,347,73,82,125,205,244,301,468,639,974,1494,2148,2290,2939,2311,1296,632,260,101,51,30,14,7,9,3,9,0.21346931598382277,0.13422425414688471,0.1722642283570717,0.21141785358419787,0.3064884825039564,0.7313756520719771
EDDM,2019-05-01T00:00:00Z,ARR,18734,503,106,134,176,219,300,421,598,866,1195,1782,2459,2492,3007,2134,1221,574,272,115,52,32,13,10,10,6,15,0.22637984413366072,0.1330201772178926,0.16051030212447956,0.1790861535176684,0.29353047934237214,0.6989964769937013
EDDM,2019-06-01T00:00:00Z,ARR,18186,1019,192,173,236,300,361,489,662,910,1187,1687,2148,2165,2528,1949,1131,541,232,116,56,31,19,10,4,6,9,0.21087649840536676,0.11904761904761904,0.1390080281535247,0.16936104695919935,0.2580556472011437,0.6382931925657099
EDDM,2019-07-01T00:00:00Z,ARR,18818,946,149,195,255,290,414,491,620,860,1139,1567,2269,2275,2851,2127,1159,565,257,155,66,42,25,17,15,9,23,0.2038473801679243,0.1208948878733128,0.15150387926453396,0.17462004463811245,0.2723987671378467,0.6508661919438835
EDDM,2019-08-01T00:00:00Z,ARR,18053,651,110,147,182,222,298,399,514,770,1031,1549,2250,2173,2928,2266,1327,628,276,131,71,49,25,14,10,4,13,0.21043593862515925,0.12036780590483576,0.16218910984323934,0.19902509278236305,0.2825569157480751,0.6920179471555974
EDDM,2019-09-01T00:00:00Z,ARR,18933,505,82,125,160,216,295,418,540,751,1170,1775,2477,2473,3072,2364,1241,578,285,148,106,58,26,21,13,6,11,0.22458141868694873,0.1306184968045212,0.16225637775312943,0.19040828183594785,0.29287487455765066,0.7078645750805472
EDDM,2019-10-01T00:00:00Z,ARR,18662,363,86,93,143,203,221,369,565,760,1094,1567,2243,2300,3065,2463,1576,773,370,168,84,63,27,12,12,9,13,0.20415818240274355,0.12324509698853284,0.16423748794341442,0.2164291072768192,0.2874825849319473,0.70806987461151
EDDM,2019-11-01T00:00:00Z,ARR,15758,202,36,56,66,89,113,153,228,356,605,986,1481,1885,2908,2836,1849,972,471,223,92,64,28,28,9,6,7,0.15655540043152685,0.11962177941363115,0.18454118542962303,0.2973093032110674,0.3041629648432542,0.7580276684858485
EDDM,2019-12-01T00:00:00Z,ARR,15267,369,63,75,114,151,196,227,342,456,669,1004,1442,1647,2574,2360,1644,962,483,240,114,42,28,18,12,10,15,0.1602148424706884,0.10787974061701708,0.1685989388877972,0.26226501604768454,0.2764786795048143,0.6989585380231873
EDDM,2020-01-01T00:00:00Z,ARR,15297,256,47,46,59,93,132,150,207,354,509,797,1299,1588,2644,2743,2095,1200,546,250,133,58,27,22,11,7,17,0.13702033078381382,0.10381120481140092,0.17284434856507813,0.3162711642805779,0.27665555337647907,0.7299470484408708
EDDM,2020-02-01T00:00:00Z,ARR,14703,364,58,65,94,124,144,187,212,355,512,798,1252,1598,2503,2605,1867,949,456,210,123,83,50,23,21,15,27,0.13942732775624023,0.10868530231925458,0.17023736652383867,0.3041556145004421,0.27892266884309325,0.7225056110997755
EDDM,2020-03-01T00:00:00Z,ARR,8677,117,13,21,17,33,59,55,80,100,176,281,491,592,1254,1669,1482,1019,565,295,145,93,43,25,12,10,24,0.08897084245707042,0.06822634551112136,0.1445199953901118,0.3631439437593638,0.21274634090123315,0.6648611271176674
EDDM,2020-04-01T00:00:00Z,ARR,906,21,2,2,2,5,8,7,13,13,16,29,50,56,79,106,125,143,105,53,29,15,10,3,5,2,6,0.08719646799116998,0.06181015452538632,0.08719646799116998,0.25496688741721857,0.1490066225165563,0.4911699779249448
EDDM,2020-05-01T00:00:00Z,ARR,1028,47,2,6,7,7,12,16,18,29,26,44,63,64,125,117,136,128,69,36,23,13,12,6,6,2,13,0.10408560311284049,0.0622568093385214,0.1215953307392996,0.24610894941634243,0.18385214007782105,0.5340466926070039
EDDM,2020-06-01T00:00:00Z,ARR,2315,30,2,7,14,10,14,20,34,45,68,116,170,183,304,367,370,258,144,69,36,16,12,9,3,0,12,0.12354211663066957,0.07904967602591792,0.13131749460043196,0.3183585313174946,0.21036717062634988,0.652267818574514
EDDM,2020-07-01T00:00:00Z,ARR,4975,47,14,12,18,16,30,41,70,95,122,188,316,378,723,904,877,524,307,151,61,28,18,12,5,8,10,0.1013065326633166,0.07597989949748744,0.14532663316582914,0.3579899497487437,0.2213065326633166,0.6806030150753769
EDDM,2020-08-01T00:00:00Z,ARR,6132,71,14,15,18,26,20,37,53,76,135,189,313,415,791,1065,1153,835,477,228,94,52,21,11,9,4,10,0.08186562296151337,0.06767775603392041,0.12899543378995434,0.3617090671885193,0.19667318982387472,0.6402478799739074
EDDM,2020-09-01T00:00:00Z,ARR,6356,37,12,7,4,12,22,24,38,66,96,151,288,360,843,1245,1272,935,493,204,96,57,27,21,14,13,18,0.06906859660163625,0.0566393958464443,0.13263058527375707,0.3960037759597231,0.18926998112020135,0.6543423536815607
EDDM,2020-10-01T00:00:00Z,ARR,5669,52,3,5,8,17,26,27,32,61,102,153,260,366,791,1094,1061,812,438,183,86,35,16,18,4,3,14,0.072852354912683,0.06456165108484742,0.13953078144293526,0.3801375904039513,0.20409243252778267,0.657082377844417
EDDM,2020-11-01T00:00:00Z,ARR,3248,31,6,4,7,9,14,23,28,37,71,73,132,178,356,523,605,544,295,161,60,34,24,6,12,4,9,0.06311576354679803,0.05480295566502463,0.10960591133004928,0.3472906403940887,0.1644088669950739,0.5748152709359606
EDDM,2020-12-01T00:00:00Z,ARR,2846,40,4,5,11,15,25,26,48,55,85,139,182,218,408,489,411,326,183,93,43,17,12,5,1,4,1,0.11278988053408293,0.07659873506676036,0.1433591004919185,0.31623330990864373,0.21995783555867884,0.6489810260014055
EDDM,2021-01-01T00:00:00Z,ARR,2449,62,13,13,18,23,23,62,56,87,122,151,208,218,289,344,305,216,128,65,28,6,5,2,3,0,2,0.14659044507962435,0.08901592486729278,0.1180073499387505,0.26500612494895875,0.2070232748060433,0.6186198448346264
EDDM,2021-02-01T00:00:00Z,ARR,1707,50,3,8,10,10,21,26,41,52,71,110,144,145,222,239,211,143,91,54,19,13,6,5,1,2,5,0.14879906268306972,0.0849443468072642,0.13005272407732865,0.26362038664323373,0.21499707088459288,0.6274165202108963
EDDM,2021-03-01T00:00:00Z,ARR,2548,45,8,12,8,11,18,25,40,58,84,128,203,214,377,430,420,225,116,50,31,16,13,4,2,6,4,0.12990580847723704,0.08398744113029827,0.1479591836734694,0.33359497645211933,0.23194662480376765,0.695447409733124
EDDM,2021-04-01T00:00:00Z,ARR,3273,31,3,8,16,15,17,27,42,59,84,131,233,266,449,593,558,391,199,87,29,6,9,5,2,1,10,0.11121295447601588,0.0812710051940116,0.13718301252673387,0.3516651390161931,0.2184540177207455,0.6813321112129544
EDDM,2021-05-01T00:00:00Z,ARR,4100,56,10,13,18,11,24,39,64,83,138,202,321,356,652,774,586,381,199,92,40,17,7,3,4,2,4,0.1275609756097561,0.08682926829268292,0.15902439024390244,0.33170731707317075,0.24585365853658536,0.7051219512195122
EDDM,2021-06-01T00:00:00Z,ARR,5531,92,18,13,19,32,37,73,115,130,218,330,461,530,906,919,769,466,241,84,32,19,6,4,3,2,10,0.143012113541855,0.09582354004700776,0.16380401374073406,0.30518893509311157,0.2596275537877418,0.7078286024227084
EDDM,2021-07-01T00:00:00Z,ARR,7927,185,29,48,60,84,126,168,209,267,406,608,849,841,1208,1177,798,455,222,94,37,22,13,4,2,2,4,0.1838021950296455,0.10609309953324082,0.1523905638955469,0.2491484798788949,0.2584836634287877,0.6914343383373281
EDDM,2021-08-01T00:00:00Z,ARR,8779,204,30,35,57,88,110,154,261,364,500,702,1001,980,1303,1237,886,466,201,79,47,27,19,6,2,1,11,0.19398564756806017,0.1116300261988837,0.1484223715685158,0.24182708736758177,0.26005239776739947,0.6958651327030414
EDDM,2021-09-01T00:00:00Z,ARR,9445,159,27,49,77,93,96,137,250,384,520,774,1056,1113,1571,1372,838,465,225,101,45,28,19,9,6,4,16,0.1937533086289042,0.11784012705134991,0.16633139227104288,0.2339862361037586,0.2841715193223928,0.7119110640550556
EDDM,2021-10-01T00:00:00Z,ARR,10364,173,33,48,37,56,103,161,208,307,477,753,1139,1234,1798,1664,1062,615,246,116,46,27,16,15,12,1,12,0.1825549980702431,0.11906599768429178,0.1734851408722501,0.2630258587417985,0.29255113855654186,0.7381319953685835
EDDM,2021-11-01T00:00:00Z,ARR,9612,138,23,33,43,57,73,95,137,241,339,530,914,1076,1703,1715,1307,620,309,132,54,37,16,4,3,3,5,0.1502288805659592,0.11194340407823554,0.17717436537661255,0.3143986683312526,0.28911776945484813,0.7537453183520599
EDDM,2021-12-01T00:00:00Z,ARR,9483,185,42,35,49,67,123,133,248,291,423,628,879,996,1482,1496,1185,663,320,129,45,25,12,13,5,2,3,0.1589159548666034,0.10503005378044925,0.15627965833596963,0.28271643994516504,0.26130971211641885,0.7029421069281873
EGLL,2019-01-01T00:00:00Z,ARR,18920,535,82,112,125,178,209,287,372,579,761,981,1416,1343,2176,2407,2387,1946,1344,773,353,228,139,87,38,27,21,0.1266913319238901,0.0709830866807611,0.11501057082452432,0.25338266384778013,0.1859936575052854,0.5660676532769556
EGLL,2019-02-01T00:00:00Z,ARR,17625,773,115,134,170,200,233,279,363,525,642,923,1219,1251,1996,2183,2225,1856,1178,686,363,148,60,40,13,7,14,0.12153191489361702,0.07097872340425532,0.1132482269503546,0.25009929078014187,0.18422695035460993,0.5558581560283687
EGLL,2019-03-01T00:00:00Z,ARR,19946,1224,224,265,295,395,446,530,661,743,925,1173,1335,1174,1937,1992,1979,1675,1291,744,415,253,114,64,35,8,13,0.1257394966409305,0.0588589190815201,0.0971122029479595,0.19908753634813997,0.1559711220294796,0.4807981550185501
EGLL,2019-04-01T00:00:00Z,ARR,20172,862,120,148,203,237,347,421,538,690,899,1368,1726,1550,2584,2585,2333,1621,985,499,213,117,46,27,11,3,2,0.15338092405314296,0.0768391830259766,0.12809835415427326,0.2438032916914535,0.20493753718024985,0.6021217529248464
EGLL,2019-05-01T00:00:00Z,ARR,20840,772,109,125,163,176,280,348,493,657,921,1243,1651,1649,2639,2814,2500,1981,1193,602,266,135,52,34,7,2,6,0.1388675623800384,0.07912667946257197,0.12663147792706334,0.2549904030710173,0.20575815738963532,0.599616122840691
EGLL,2019-06-01T00:00:00Z,ARR,20453,1195,195,227,263,354,438,542,738,966,1188,1480,1814,1657,2416,2359,1810,1249,751,390,173,95,46,19,18,5,10,0.16105216838605582,0.08101501002297952,0.11812448051630568,0.2038331785068205,0.1991394905392852,0.5640248374321616
EGLL,2019-07-01T00:00:00Z,ARR,21059,1112,165,171,257,309,374,487,654,824,1045,1409,1826,1588,2470,2388,2111,1452,955,567,329,207,133,79,38,37,44,0.15361603115057695,0.07540718932522912,0.11728951992022411,0.21363787454295077,0.1926967092454533,0.5599506149389809
EGLL,2019-08-01T00:00:00Z,ARR,21021,1281,180,195,281,334,344,462,623,882,1034,1358,1696,1540,2364,2361,2101,1634,1055,544,305,178,93,58,40,15,24,0.145283288140431,0.07326007326007326,0.11245896960182676,0.2122639265496408,0.1857190428619,0.5432662575519719
EGLL,2019-09-01T00:00:00Z,ARR,19528,807,122,157,200,278,345,446,611,798,1050,1445,1779,1509,2289,2170,1859,1367,886,555,316,201,138,86,40,30,17,0.16509627201966406,0.07727365833674724,0.11721630479311758,0.2063191315034822,0.1944899631298648,0.565905366653011
EGLL,2019-10-01T00:00:00Z,ARR,20681,806,150,180,241,300,364,556,740,943,1186,1564,1811,1680,2402,2282,1885,1456,862,521,298,181,105,63,23,22,33,0.16319326918427543,0.08123398288283933,0.11614525409796432,0.20148928968618535,0.19737923698080365,0.5620617958512645
EGLL,2019-11-01T00:00:00Z,ARR,19073,607,109,134,142,182,247,285,376,522,707,973,1230,1309,2158,2437,2334,1930,1420,837,457,262,175,92,59,35,35,0.11550359146437372,0.06863104912703823,0.11314423530645416,0.2501441828763173,0.18177528443349236,0.5474230587741834
EGLL,2019-12-01T00:00:00Z,ARR,18577,731,126,151,231,270,348,467,619,820,985,1274,1487,1387,2079,2040,1876,1458,999,572,278,167,92,48,22,14,8,0.1486246433762179,0.07466221671959951,0.1119125800721322,0.2107982989718469,0.18657479679173172,0.5459977391397965
EGLL,2020-01-01T00:00:00Z,ARR,19024,619,97,134,155,205,230,339,477,595,734,966,1400,1354,2119,2368,2288,1890,1285,816,459,204,138,56,32,17,16,0.12436921783010932,0.07117325483599664,0.11138561816652648,0.2447434819175778,0.18255887300252313,0.5516715727502103
EGLL,2020-02-01T00:00:00Z,ARR,17636,1542,202,255,326,372,488,557,742,761,953,1165,1365,1073,1661,1470,1361,1004,731,470,333,244,161,131,86,52,83,0.14345656611476526,0.06084146064867317,0.09418235427534588,0.16052392832841914,0.1550238149240191,0.45900430936720343
EGLL,2020-03-01T00:00:00Z,ARR,13066,238,37,41,38,49,67,113,152,198,301,438,613,618,1184,1422,1671,1622,1540,1071,654,403,240,148,84,49,70,0.08043777743762437,0.04729833154752793,0.0906168682075616,0.23672126128884127,0.1379151997550895,0.4550742384815552
EGLL,2020-04-01T00:00:00Z,ARR,2624,88,8,7,12,23,23,27,28,24,52,69,75,64,145,162,234,260,302,264,251,180,117,69,46,25,68,0.0548780487804878,0.02439024390243902,0.05525914634146341,0.15091463414634146,0.07964939024390244,0.2854420731707317
EGLL,2020-05-01T00:00:00Z,ARR,3409,147,19,11,27,24,35,41,48,44,68,74,119,114,208,233,311,333,332,298,254,229,137,106,58,50,84,0.05661484306248166,0.03344089175711352,0.06101496039894397,0.1595775887356996,0.0944558521560575,0.31064828395423877
EGLL,2020-06-01T00:00:00Z,ARR,3751,91,7,6,14,19,9,37,28,41,44,66,100,90,208,305,379,410,421,383,311,263,160,128,73,57,96,0.04425486536923487,0.02399360170621167,0.05545187949880032,0.1823513729672087,0.07944548120501199,0.3060517195414556
EGLL,2020-07-01T00:00:00Z,ARR,6092,119,12,12,11,28,31,28,39,59,88,101,195,202,410,624,832,862,838,600,366,224,140,90,74,42,64,0.04858831254103742,0.03315824031516743,0.06730137885751805,0.23900196979645436,0.10045961917268548,0.38804990151017726
EGLL,2020-08-01T00:00:00Z,ARR,7702,128,15,12,24,38,34,51,47,79,131,152,240,296,504,783,957,1099,1053,856,531,282,149,92,64,32,48,0.05089587120228512,0.0384315762139704,0.0654375486886523,0.22591534666320437,0.10386912490262268,0.3806803427681122
EGLL,2020-09-01T00:00:00Z,ARR,7322,105,10,16,11,15,28,24,39,53,82,125,197,229,437,652,829,979,1035,866,631,357,223,139,99,66,71,0.04397705544933078,0.03127560775744332,0.05968314668123464,0.20226714012564873,0.09095875443867796,0.33720295001365747
EGLL,2020-10-01T00:00:00Z,ARR,9076,162,20,16,26,38,34,55,83,92,166,213,299,325,707,895,1125,1263,1196,972,581,331,185,109,63,42,73,0.05641251652710445,0.03580872631115028,0.07789775231379463,0.22256500661084175,0.11370647862494491,0.39268400176289114
EGLL,2020-11-01T00:00:00Z,ARR,5793,136,13,21,27,33,42,50,63,79,122,157,235,241,409,532,632,633,665,577,405,291,167,91,53,51,63,0.06766787502157777,0.04160193336785776,0.07060245123424823,0.20093215950284823,0.112204384602106,0.380804419126532
EGLL,2020-12-01T00:00:00Z,ARR,6487,282,36,32,35,70,67,91,125,162,186,258,315,310,588,644,713,697,634,457,315,195,114,63,34,21,38,0.08833050716818251,0.04778788345922614,0.09064282410975798,0.20918760598119315,0.13843070756898412,0.4359488207183598
EGLL,2021-01-01T00:00:00Z,ARR,5039,265,23,33,44,48,56,78,93,130,175,229,271,242,470,519,509,503,473,361,202,131,72,42,28,12,28,0.09922603691208572,0.04802540186544949,0.0932724746973606,0.20400873189124827,0.1412978765628101,0.44453264536614406
EGLL,2021-02-01T00:00:00Z,ARR,4075,203,24,31,36,40,47,73,83,92,141,190,221,178,312,392,356,352,362,288,194,163,90,87,44,22,51,0.10085889570552148,0.04368098159509202,0.07656441717791411,0.18355828220858897,0.12024539877300612,0.4046625766871166
EGLL,2021-03-01T00:00:00Z,ARR,4919,162,34,28,26,56,66,75,100,151,157,192,265,230,420,497,469,480,418,342,265,189,117,70,38,28,42,0.09290506200447246,0.04675747103069729,0.08538320796909941,0.19638137832892863,0.1321406789997967,0.4214271193331978
EGLL,2021-04-01T00:00:00Z,ARR,5168,143,23,32,43,52,60,80,103,129,155,238,291,257,411,504,622,534,481,389,242,145,96,47,43,22,21,0.10236068111455109,0.04972910216718266,0.07952786377708979,0.21787925696594423,0.12925696594427244,0.44949690402476783
